geom,part,lon,lat,x,y,hole,ID,Name,DateTime,Year,Month,Day,Hour,Pressure,Wind,Class,time
1,1,134.2,22.9,417952.637863498,2532672.76170995,0,2020-12,DOLPHIN,2020-09-20T00:00:00Z,2020,9,20,0,1008,0,Tropical Depression (TD),2020-09-20T00:00:00Z
2,1,134,23.6,397973.47866357,2610298.59705422,0,2020-12,DOLPHIN,2020-09-20T06:00:00Z,2020,9,20,6,1006,0,Tropical Depression (TD),2020-09-20T06:00:00Z
3,1,134.3,24,428801.054554216,2654403.44611552,0,2020-12,DOLPHIN,2020-09-20T12:00:00Z,2020,9,20,12,1004,0,Tropical Depression (TD),2020-09-20T12:00:00Z
4,1,134.7,24.2,469533.926819267,2676402.30650153,0,2020-12,DOLPHIN,2020-09-20T18:00:00Z,2020,9,20,18,1002,0,Tropical Depression (TD),2020-09-20T18:00:00Z
5,1,134.8,24.9,479801.727117876,2753889.80670824,0,2020-12,DOLPHIN,2020-09-21T00:00:00Z,2020,9,21,0,996,40,Tropical Storm (TS),2020-09-21T00:00:00Z
6,1,135,25.3,5e+05,2798166.99222136,0,2020-12,DOLPHIN,2020-09-21T06:00:00Z,2020,9,21,6,996,40,Tropical Storm (TS),2020-09-21T06:00:00Z
7,1,135,25.7,5e+05,2842461.42271491,0,2020-12,DOLPHIN,2020-09-21T12:00:00Z,2020,9,21,12,996,40,Tropical Storm (TS),2020-09-21T12:00:00Z
8,1,135.2,26.1,519998.582123438,2886773.63879072,0,2020-12,DOLPHIN,2020-09-21T18:00:00Z,2020,9,21,18,992,45,Tropical Storm (TS),2020-09-21T18:00:00Z
9,1,135.3,26.9,529790.920605378,2975394.68784723,0,2020-12,DOLPHIN,2020-09-22T00:00:00Z,2020,9,22,0,985,50,Severe Tropical Storm (STS),2020-09-22T00:00:00Z
10,1,135.8,28.1,578586.716040853,3108538.38978124,0,2020-12,DOLPHIN,2020-09-22T06:00:00Z,2020,9,22,6,975,60,Severe Tropical Storm (STS),2020-09-22T06:00:00Z
11,1,136.3,29.3,626258.254002951,3241924.83473124,0,2020-12,DOLPHIN,2020-09-22T12:00:00Z,2020,9,22,12,975,60,Severe Tropical Storm (STS),2020-09-22T12:00:00Z
12,1,137,30.1,692721.275972722,3331553.57124453,0,2020-12,DOLPHIN,2020-09-22T18:00:00Z,2020,9,22,18,975,60,Severe Tropical Storm (STS),2020-09-22T18:00:00Z
13,1,137.9,31.2,776327.146605142,3455391.83472564,0,2020-12,DOLPHIN,2020-09-23T00:00:00Z,2020,9,23,0,975,60,Severe Tropical Storm (STS),2020-09-23T00:00:00Z
14,1,139.3,32.1,905883.516028237,3559622.90584197,0,2020-12,DOLPHIN,2020-09-23T06:00:00Z,2020,9,23,6,980,55,Severe Tropical Storm (STS),2020-09-23T06:00:00Z
15,1,140.1,32.7,978291.148163629,3629548.25069346,0,2020-12,DOLPHIN,2020-09-23T09:00:00Z,2020,9,23,9,985,50,Severe Tropical Storm (STS),2020-09-23T09:00:00Z
16,1,140.8,32.9,1042804.49772589,3655155.17727585,0,2020-12,DOLPHIN,2020-09-23T12:00:00Z,2020,9,23,12,985,50,Severe Tropical Storm (STS),2020-09-23T12:00:00Z
17,1,141.1,32.9,1070923.18868345,3656747.06012504,0,2020-12,DOLPHIN,2020-09-23T15:00:00Z,2020,9,23,15,985,50,Severe Tropical Storm (STS),2020-09-23T15:00:00Z
18,1,141.3,32.9,1089672.53421758,3657853.45986929,0,2020-12,DOLPHIN,2020-09-23T18:00:00Z,2020,9,23,18,985,50,Severe Tropical Storm (STS),2020-09-23T18:00:00Z
19,1,141.5,32.9,1108424.82897916,3658996.02652853,0,2020-12,DOLPHIN,2020-09-23T21:00:00Z,2020,9,23,21,985,50,Severe Tropical Storm (STS),2020-09-23T21:00:00Z
20,1,141.8,32.9,1136559.00307561,3660777.78966705,0,2020-12,DOLPHIN,2020-09-24T00:00:00Z,2020,9,24,0,990,45,Tropical Storm (TS),2020-09-24T00:00:00Z
21,1,142,32.7,1156798.40566295,3639771.00129416,0,2020-12,DOLPHIN,2020-09-24T03:00:00Z,2020,9,24,3,992,45,Tropical Storm (TS),2020-09-24T03:00:00Z
22,1,142.4,32.7,1194414.48805601,3642338.3854517,0,2020-12,DOLPHIN,2020-09-24T06:00:00Z,2020,9,24,6,992,0,Extra-tropical Cyclone (L),2020-09-24T06:00:00Z
23,1,142.5,33.2,1199837.39079363,3698627.18433356,0,2020-12,DOLPHIN,2020-09-24T12:00:00Z,2020,9,24,12,996,0,Extra-tropical Cyclone (L),2020-09-24T12:00:00Z
24,1,142.5,33.7,1195800.86574104,3754248.21916413,0,2020-12,DOLPHIN,2020-09-24T18:00:00Z,2020,9,24,18,996,0,Extra-tropical Cyclone (L),2020-09-24T18:00:00Z
25,1,141.7,34,1119261.80623901,3782458.33388867,0,2020-12,DOLPHIN,2020-09-25T00:00:00Z,2020,9,25,0,1000,0,Extra-tropical Cyclone (L),2020-09-25T00:00:00Z
26,1,142.1,35.5,1144460.19227923,3951750.91632946,0,2020-12,DOLPHIN,2020-09-25T06:00:00Z,2020,9,25,6,1000,0,Extra-tropical Cyclone (L),2020-09-25T06:00:00Z
27,1,142.8,37.2,1192768.01181188,4145670.53711828,0,2020-12,DOLPHIN,2020-09-25T12:00:00Z,2020,9,25,12,1000,0,Extra-tropical Cyclone (L),2020-09-25T12:00:00Z
28,1,144,38.9,1281098.34695601,4344380.83549225,0,2020-12,DOLPHIN,2020-09-25T18:00:00Z,2020,9,25,18,996,0,Extra-tropical Cyclone (L),2020-09-25T18:00:00Z
29,1,145.4,40.2,1385946.6698291,4502167.32993807,0,2020-12,DOLPHIN,2020-09-26T00:00:00Z,2020,9,26,0,998,0,Extra-tropical Cyclone (L),2020-09-26T00:00:00Z
30,1,146,40.9,1427310.02017019,4586327.24112447,0,2020-12,DOLPHIN,2020-09-26T06:00:00Z,2020,9,26,6,1004,0,Extra-tropical Cyclone (L),2020-09-26T06:00:00Z
31,1,146.8,41.6,1484141.27503428,4673160.74973043,0,2020-12,DOLPHIN,2020-09-26T12:00:00Z,2020,9,26,12,1004,0,Extra-tropical Cyclone (L),2020-09-26T12:00:00Z
32,1,147.1,42,1502840.59754532,4721194.6303042,0,2020-12,DOLPHIN,2020-09-26T18:00:00Z,2020,9,26,18,1004,0,Extra-tropical Cyclone (L),2020-09-26T18:00:00Z
33,1,147.4,42.7,1516204.75692312,4802688.92559235,0,2020-12,DOLPHIN,2020-09-27T00:00:00Z,2020,9,27,0,1000,0,Extra-tropical Cyclone (L),2020-09-27T00:00:00Z
34,1,147.9,43.5,1543303.35648172,4897899.28557415,0,2020-12,DOLPHIN,2020-09-27T06:00:00Z,2020,9,27,6,1000,0,Extra-tropical Cyclone (L),2020-09-27T06:00:00Z
35,1,148.4,44.6,1563518.69162554,5026654.04245787,0,2020-12,DOLPHIN,2020-09-27T12:00:00Z,2020,9,27,12,998,0,Extra-tropical Cyclone (L),2020-09-27T12:00:00Z
36,1,149.7,45.5,1648135.34731119,5144708.89032493,0,2020-12,DOLPHIN,2020-09-27T18:00:00Z,2020,9,27,18,994,0,Extra-tropical Cyclone (L),2020-09-27T18:00:00Z
