geom,part,lon,lat,x,y,hole,ID,Name,DateTime,Year,Month,Day,Hour,Pressure,Wind,Class,time
1,1,148.8,23.9,1913923.01695543,2713058.13602757,0,2022-08,MEARI,2022-08-08T18:00:00Z,2022,8,8,18,1008,0,Tropical Depression (TD),2022-08-08T18:00:00Z
2,1,146.3,24.1,1653456.87742764,2712153.93031294,0,2022-08,MEARI,2022-08-09T00:00:00Z,2022,8,9,0,1008,0,Tropical Depression (TD),2022-08-09T00:00:00Z
3,1,144.5,24.6,1464627.3974657,2754154.17936891,0,2022-08,MEARI,2022-08-09T06:00:00Z,2022,8,9,6,1008,0,Tropical Depression (TD),2022-08-09T06:00:00Z
4,1,142.8,24.9,1289314.98045298,2776589.97065405,0,2022-08,MEARI,2022-08-09T12:00:00Z,2022,8,9,12,1008,0,Tropical Depression (TD),2022-08-09T12:00:00Z
5,1,141.6,25.1,1166413.45686182,2792350.86588222,0,2022-08,MEARI,2022-08-09T18:00:00Z,2022,8,9,18,1006,0,Tropical Depression (TD),2022-08-09T18:00:00Z
6,1,140.3,26,1030880.83183678,2886467.91561054,0,2022-08,MEARI,2022-08-10T00:00:00Z,2022,8,10,0,1008,0,Tropical Depression (TD),2022-08-10T00:00:00Z
7,1,139.5,26.9,947135.922104473,2983314.41546547,0,2022-08,MEARI,2022-08-10T06:00:00Z,2022,8,10,6,1006,0,Tropical Depression (TD),2022-08-10T06:00:00Z
8,1,138.5,27.6,845514.673118623,3057786.79389569,0,2022-08,MEARI,2022-08-10T12:00:00Z,2022,8,10,12,1008,0,Tropical Depression (TD),2022-08-10T12:00:00Z
9,1,137.6,28.2,755213.833469168,3122095.29216093,0,2022-08,MEARI,2022-08-10T18:00:00Z,2022,8,10,18,1006,0,Tropical Depression (TD),2022-08-10T18:00:00Z
10,1,136.3,28.8,626868.757249285,3186521.11425425,0,2022-08,MEARI,2022-08-11T00:00:00Z,2022,8,11,0,1006,0,Tropical Depression (TD),2022-08-11T00:00:00Z
11,1,135.9,28.8,587830.098454881,3186159.99826653,0,2022-08,MEARI,2022-08-11T06:00:00Z,2022,8,11,6,1004,0,Tropical Depression (TD),2022-08-11T06:00:00Z
12,1,135.6,28.8,558552.676883697,3185975.35939573,0,2022-08,MEARI,2022-08-11T12:00:00Z,2022,8,11,12,1002,35,Tropical Storm (TS),2022-08-11T12:00:00Z
13,1,135.9,29.6,587150.761971418,3274801.56712745,0,2022-08,MEARI,2022-08-11T18:00:00Z,2022,8,11,18,1002,35,Tropical Storm (TS),2022-08-11T18:00:00Z
14,1,136.2,30.5,615156.745855474,3374803.622306,0,2022-08,MEARI,2022-08-12T00:00:00Z,2022,8,12,0,1002,35,Tropical Storm (TS),2022-08-12T00:00:00Z
15,1,136.4,30.8,633936.9985508,3408275.23874387,0,2022-08,MEARI,2022-08-12T06:00:00Z,2022,8,12,6,1002,35,Tropical Storm (TS),2022-08-12T06:00:00Z
16,1,136.7,31.9,660758.613498931,3530612.03684415,0,2022-08,MEARI,2022-08-12T12:00:00Z,2022,8,12,12,1000,40,Tropical Storm (TS),2022-08-12T12:00:00Z
17,1,136.7,32.8,659173.966804489,3630394.69499176,0,2022-08,MEARI,2022-08-12T18:00:00Z,2022,8,12,18,1000,40,Tropical Storm (TS),2022-08-12T18:00:00Z
18,1,137.2,33.8,703659.35700956,3742156.48155458,0,2022-08,MEARI,2022-08-13T00:00:00Z,2022,8,13,0,998,40,Tropical Storm (TS),2022-08-13T00:00:00Z
19,1,138,34.5,775455.198533806,3821684.05283035,0,2022-08,MEARI,2022-08-13T05:00:00Z,2022,8,13,5,998,40,Tropical Storm (TS),2022-08-13T05:00:00Z
20,1,138.2,34.7,793121.069172277,3844437.73313504,0,2022-08,MEARI,2022-08-13T06:00:00Z,2022,8,13,6,998,40,Tropical Storm (TS),2022-08-13T06:00:00Z
21,1,138.7,35,837712.013026136,3879302.6239939,0,2022-08,MEARI,2022-08-13T08:00:00Z,2022,8,13,8,998,40,Tropical Storm (TS),2022-08-13T08:00:00Z
22,1,140.3,35.8,979096.630638778,3974749.49620826,0,2022-08,MEARI,2022-08-13T12:00:00Z,2022,8,13,12,998,40,Tropical Storm (TS),2022-08-13T12:00:00Z
23,1,142.6,37.4,1173178.19254801,4166455.62999959,0,2022-08,MEARI,2022-08-13T18:00:00Z,2022,8,13,18,998,40,Tropical Storm (TS),2022-08-13T18:00:00Z
24,1,144.7,39.2,1338370.62854982,4384063.2581518,0,2022-08,MEARI,2022-08-14T00:00:00Z,2022,8,14,0,998,40,Tropical Storm (TS),2022-08-14T00:00:00Z
25,1,146.9,41,1501783.72627296,4607541.33151757,0,2022-08,MEARI,2022-08-14T06:00:00Z,2022,8,14,6,996,40,Tropical Storm (TS),2022-08-14T06:00:00Z
26,1,150,44,1702974.00132509,4982554.3772557,0,2022-08,MEARI,2022-08-14T12:00:00Z,2022,8,14,12,994,0,Extra-tropical Cyclone (L),2022-08-14T12:00:00Z
